Symbol,Description,Sector,Industry
MSLOF,Mitsui O.S.K. Lines Ltd.,Transportation,Marine shipping
EUXTF,Euronext NV,Finance,Investment banks/Brokers
ARRPY,Aeroports de Paris SA,Transportation,Other transportation
SAABF,Saab AB,Electronic technology,Aerospace & defense
LSRCY,Lasertec Corp.,Electronic technology,Electronic equipment/Instruments
PANDY,Pandora A/S,Consumer durables,Other consumer specialties
BG,Bunge Limited,Process industries,Agricultural commodities/Milling
ERNXY,Euronext NV,Finance,Investment banks/Brokers
PAA,"Plains All American Pipeline, L.P.",Industrial services,Oil & gas pipelines
SIETY,D IETEREN GROUP NV,Consumer services,Other consumer services
WRTBY,Wartsila Corp.,Producer manufacturing,Trucks/Construction/Farm machinery
IAUGY,Insurance Australia Group Ltd.,Finance,Property/Casualty insurance
ITT,ITT Inc.,Producer manufacturing,Auto parts: OEM
TAP,Molson Coors Beverage Company,Consumer non-durables,Beverages: alcoholic
TAP.A,Molson Coors Beverage Company,Consumer non-durables,Beverages: alcoholic
HTHT,H World Group Limited,Consumer services,Hotels/Resorts/Cruise lines
NDEKF,Nitto Denko Corp.,Electronic technology,Electronic equipment/Instruments
LECO,"Lincoln Electric Holdings, Inc.",Producer manufacturing,Industrial machinery
WRTBF,Wartsila Corp.,Producer manufacturing,Trucks/Construction/Farm machinery
BJ,"BJ's Wholesale Club Holdings, Inc.",Retail trade,Specialty stores
NVT,nVent Electric plc,Electronic technology,Electronic components
SSMXY,Sysmex Corp.,Health technology,Medical specialties
MMYT,MakeMyTrip Limited,Technology services,Internet software/Services
ATR,"AptarGroup, Inc.",Process industries,Containers/Packaging
SGIOF,Shionogi & Co. Ltd.,Health technology,Pharmaceuticals: major
OGFGF,Origin Energy Ltd.,Utilities,Electric utilities
NDEKY,Nitto Denko Corp.,Electronic technology,Electronic equipment/Instruments
AGPPF,Anglo American Platinum Ltd.,Non-energy minerals,Other metals/Minerals
BWXT,"BWX Technologies, Inc.",Electronic technology,Aerospace & defense
AKZOF,Akzo Nobel N.V.,Process industries,Industrial specialties
KIKOY,Kikkoman Corp.,Consumer non-durables,Food: specialty/candy
FTI,TechnipFMC plc,Industrial services,Oilfield services/Equipment
TFII,TFI International Inc.,Transportation,Trucking
FND,"Floor & Decor Holdings, Inc.",Retail trade,Home improvement chains
OHI,"Omega Healthcare Investors, Inc.",Finance,Real estate investment trusts
CHWY,"Chewy, Inc.",Retail trade,Internet retail
ACCYY,Accor SA Ltd.,Consumer services,Hotels/Resorts/Cruise lines
NICE,NICE Ltd,Technology services,Information technology services
SAABY,Saab AB,Electronic technology,Aerospace & defense
AOS,A.O. Smith Corporation,Producer manufacturing,Building products
LW,"Lamb Weston Holdings, Inc.",Consumer non-durables,Food: specialty/candy
IPG,"Interpublic Group of Companies, Inc. (The)",Commercial services,Advertising/Marketing services
OGFGY,Origin Energy Ltd.,Utilities,Electric utilities
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer services,Hotels/Resorts/Cruise lines
BIOVF,Swedish Orphan Biovitrum AB,Health technology,Pharmaceuticals: major
AKZOY,Akzo Nobel N.V.,Process industries,Industrial specialties
TPR,"Tapestry, Inc.",Retail trade,Apparel/Footwear retail
SGGKF,Singapore Technologies Engineering Ltd.,Electronic technology,Aerospace & defense
MKTX,"MarketAxess Holdings, Inc.",Finance,Investment banks/Brokers
MGM,MGM Resorts International,Consumer services,Casinos/Gaming
SWRAY,Swire Pacific Ltd.,Consumer non-durables,Beverages: non-alcoholic
TKHVY,Turk Hava Yollari AO,Transportation,Airlines
ACI,"Albertsons Companies, Inc.",Retail trade,Food retail
TSGTY,"Tsingtao Brewery Co., Ltd.",Consumer non-durables,Beverages: alcoholic
TSGTF,"Tsingtao Brewery Co., Ltd.",Consumer non-durables,Beverages: alcoholic
EPAM,"EPAM Systems, Inc.",Technology services,Information technology services
PR,Permian Resources Corporation,Energy minerals,Integrated oil
PBNNF,PT Bank Negara Indonesia TBK,Finance,Major banks
AFG,"American Financial Group, Inc.",Finance,Property/Casualty insurance
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",Finance,Property/Casualty insurance
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",Finance,Property/Casualty insurance
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",Finance,Property/Casualty insurance
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",Finance,Property/Casualty insurance
CRRFY,Carrefour S.A.,Retail trade,Specialty stores
SVNWF,Seven Group Holdings Ltd.,Distribution services,Wholesale distributors
PCTY,Paylocity Holding Corporation,Technology services,Packaged software
BLD,TopBuild Corp.,Industrial services,Engineering & construction
KEP,Korea Electric Power Corporation,Utilities,Electric utilities
SGGKY,Singapore Technologies Engineering Ltd.,Electronic technology,Aerospace & defense
CUBE,CubeSmart,Finance,Real estate investment trusts
LOTBY,Lotus Bakeries NV,Consumer non-durables,Food: specialty/candy
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,Utilities,Water utilities
WTRG,"Essential Utilities, Inc.",Utilities,Water utilities
AES,The AES Corporation,Utilities,Electric utilities
ATDRF,Auto Trader Group Plc.,Technology services,Internet software/Services
CCDBF,CCL Industries Inc.,Commercial services,Miscellaneous commercial services
FBIN,"Fortune Brands Innovations, Inc.",Producer manufacturing,Building products
PSBAF,PT Sumber Alfaria Trijaya TBK,Retail trade,Food retail
ANGPY,Anglo American Platinum Ltd.,Non-energy minerals,Other metals/Minerals
IPSEF,Ipsen S.A.,Health technology,Pharmaceuticals: major
REECF,Reece Ltd.,Distribution services,Wholesale distributors
ULS,UL Solutions Inc.,Technology services,Packaged software
STBFF,Suntory Beverage & Food Ltd,Consumer non-durables,Beverages: non-alcoholic
STBFY,Suntory Beverage & Food Ltd,Consumer non-durables,Beverages: non-alcoholic
AMIGF,Admiral Group Plc.,Finance,Property/Casualty insurance
OVV,Ovintiv Inc. (DE),Energy minerals,Integrated oil
CRERF,Carrefour S.A.,Retail trade,Specialty stores
KPCPY,KASIKORNBANK Public Co. Ltd.,Finance,Regional banks
